Date,,WOD Bon Air East,WOD Bon Air East Ped IN,WOD Bon Air East Ped OUT,WOD Bon Air East Bike IN,WOD Bon Air East Bike OUT
01/01/2012,00:00,0,0,0,0,0
01/01/2012,00:15,0,0,0,0,0
01/01/2012,00:30,0,0,0,0,0
01/01/2012,00:45,1,0,0,1,0
01/01/2012,01:00,1,0,0,0,1
01/01/2012,01:15,0,0,0,0,0
01/01/2012,01:30,1,0,1,0,0
01/01/2012,01:45,0,0,0,0,0
01/01/2012,02:00,0,0,0,0,0
01/01/2012,02:15,0,0,0,0,0
01/01/2012,02:30,0,0,0,0,0
01/01/2012,02:45,0,0,0,0,0
01/01/2012,03:00,0,0,0,0,0
01/01/2012,03:15,0,0,0,0,0
01/01/2012,03:30,0,0,0,0,0
01/01/2012,03:45,0,0,0,0,0
01/01/2012,04:00,1,1,0,0,0
01/01/2012,04:15,0,0,0,0,0
01/01/2012,04:30,1,0,1,0,0
01/01/2012,04:45,0,0,0,0,0
01/01/2012,05:00,1,1,0,0,0
01/01/2012,05:15,0,0,0,0,0
01/01/2012,05:30,0,0,0,0,0
01/01/2012,05:45,0,0,0,0,0
01/01/2012,06:00,0,0,0,0,0
01/01/2012,06:15,1,0,1,0,0
01/01/2012,06:30,3,2,1,0,0
01/01/2012,06:45,0,0,0,0,0
01/01/2012,07:00,0,0,0,0,0
01/01/2012,07:15,5,2,3,0,0
01/01/2012,07:30,8,2,2,0,4
01/01/2012,07:45,4,1,3,0,0
01/01/2012,08:00,7,2,2,1,2
01/01/2012,08:15,12,5,2,3,2
01/01/2012,08:30,8,3,2,0,3
01/01/2012,08:45,12,5,4,2,1
01/01/2012,09:00,23,8,8,4,3
01/01/2012,09:15,34,3,26,2,3
01/01/2012,09:30,34,24,7,1,2
01/01/2012,09:45,33,13,14,2,4
01/01/2012,10:00,16,4,3,5,4
01/01/2012,10:15,23,8,7,5,3
01/01/2012,10:30,34,3,5,9,17
01/01/2012,10:45,22,7,3,6,6
01/01/2012,11:00,28,11,10,5,2
01/01/2012,11:15,40,12,10,4,14
01/01/2012,11:30,30,10,10,6,4
01/01/2012,11:45,38,13,6,10,9
01/01/2012,12:00,41,8,16,11,6
01/01/2012,12:15,45,8,12,13,12
01/01/2012,12:30,47,11,7,17,12
01/01/2012,12:45,69,11,15,23,20
01/01/2012,13:00,50,11,15,10,14
01/01/2012,13:15,48,14,10,17,7
01/01/2012,13:30,74,14,14,23,23
01/01/2012,13:45,67,14,13,22,18
01/01/2012,14:00,61,10,14,19,18
01/01/2012,14:15,66,9,8,23,26
01/01/2012,14:30,73,10,9,15,39
01/01/2012,14:45,64,6,20,21,17
01/01/2012,15:00,47,13,11,5,18
01/01/2012,15:15,53,11,8,14,20
01/01/2012,15:30,51,5,11,14,21
01/01/2012,15:45,31,6,3,11,11
01/01/2012,16:00,32,12,4,10,6
01/01/2012,16:15,41,8,10,12,11
01/01/2012,16:30,53,3,17,17,16
01/01/2012,16:45,28,5,6,6,11
01/01/2012,17:00,23,5,3,4,11
01/01/2012,17:15,9,4,2,1,2
01/01/2012,17:30,4,0,3,0,1
01/01/2012,17:45,0,0,0,0,0
01/01/2012,18:00,0,0,0,0,0
01/01/2012,18:15,1,0,0,0,1
01/01/2012,18:30,1,1,0,0,0
01/01/2012,18:45,0,0,0,0,0
01/01/2012,19:00,3,0,1,0,2
01/01/2012,19:15,0,0,0,0,0
01/01/2012,19:30,0,0,0,0,0
01/01/2012,19:45,0,0,0,0,0
01/01/2012,20:00,0,0,0,0,0
01/01/2012,20:15,0,0,0,0,0
01/01/2012,20:30,0,0,0,0,0
01/01/2012,20:45,3,2,1,0,0
01/01/2012,21:00,0,0,0,0,0
01/01/2012,21:15,0,0,0,0,0
01/01/2012,21:30,2,1,0,1,0
01/01/2012,21:45,0,0,0,0,0
01/01/2012,22:00,0,0,0,0,0
01/01/2012,22:15,0,0,0,0,0
01/01/2012,22:30,0,0,0,0,0
01/01/2012,22:45,0,0,0,0,0
01/01/2012,23:00,0,0,0,0,0
01/01/2012,23:15,0,0,0,0,0
01/01/2012,23:30,0,0,0,0,0
01/01/2012,23:45,0,0,0,0,0
02/01/2012,00:00,0,0,0,0,0
02/01/2012,00:15,0,0,0,0,0
02/01/2012,00:30,0,0,0,0,0
02/01/2012,00:45,0,0,0,0,0
02/01/2012,01:00,2,1,1,0,0
02/01/2012,01:15,0,0,0,0,0
02/01/2012,01:30,0,0,0,0,0
02/01/2012,01:45,0,0,0,0,0
02/01/2012,02:00,0,0,0,0,0
02/01/2012,02:15,0,0,0,0,0
02/01/2012,02:30,0,0,0,0,0
02/01/2012,02:45,0,0,0,0,0
02/01/2012,03:00,0,0,0,0,0
02/01/2012,03:15,0,0,0,0,0
02/01/2012,03:30,1,1,0,0,0
02/01/2012,03:45,1,0,1,0,0
02/01/2012,04:00,0,0,0,0,0
02/01/2012,04:15,2,0,2,0,0
02/01/2012,04:30,0,0,0,0,0
02/01/2012,04:45,0,0,0,0,0
02/01/2012,05:00,1,1,0,0,0
02/01/2012,05:15,0,0,0,0,0
02/01/2012,05:30,0,0,0,0,0
02/01/2012,05:45,0,0,0,0,0
02/01/2012,06:00,0,0,0,0,0
02/01/2012,06:15,1,0,0,1,0
02/01/2012,06:30,1,0,1,0,0
02/01/2012,06:45,2,0,0,0,2
02/01/2012,07:00,3,2,1,0,0
02/01/2012,07:15,4,3,1,0,0
02/01/2012,07:30,3,1,2,0,0
02/01/2012,07:45,10,4,4,1,1
02/01/2012,08:00,10,5,4,0,1
02/01/2012,08:15,13,1,10,0,2
02/01/2012,08:30,13,4,7,2,0
02/01/2012,08:45,23,12,9,0,2
02/01/2012,09:00,22,13,8,1,0
02/01/2012,09:15,19,7,10,1,1
02/01/2012,09:30,32,17,10,3,2
02/01/2012,09:45,22,5,12,3,2
02/01/2012,10:00,30,8,16,1,5
02/01/2012,10:15,33,20,5,4,4
02/01/2012,10:30,28,10,11,3,4
02/01/2012,10:45,21,7,8,4,2
02/01/2012,11:00,20,7,9,2,2
02/01/2012,11:15,30,13,10,5,2
02/01/2012,11:30,19,7,8,1,3
02/01/2012,11:45,31,13,12,4,2
02/01/2012,12:00,26,8,11,4,3
02/01/2012,12:15,26,9,7,3,7
02/01/2012,12:30,28,7,6,9,6
02/01/2012,12:45,21,7,3,6,5
02/01/2012,13:00,25,5,12,3,5
02/01/2012,13:15,15,8,2,4,1
02/01/2012,13:30,18,7,3,5,3
02/01/2012,13:45,17,5,5,3,4
02/01/2012,14:00,24,6,4,7,7
02/01/2012,14:15,36,13,12,5,6
02/01/2012,14:30,20,4,2,4,10
02/01/2012,14:45,13,5,4,2,2
