Date,,Key Bridge East,Key Bridge East Ped IN,Key Bridge East Ped OUT,Key Bridge East Bike IN,Key Bridge East Bike OUT
01/01/2013,00:00,11,8,0,3,0
01/01/2013,00:15,5,4,1,0,0
01/01/2013,00:30,5,5,0,0,0
01/01/2013,00:45,10,9,0,1,0
01/01/2013,01:00,11,7,3,1,0
01/01/2013,01:15,7,5,0,2,0
01/01/2013,01:30,4,2,0,2,0
01/01/2013,01:45,4,1,1,1,1
01/01/2013,02:00,11,6,1,3,1
01/01/2013,02:15,4,3,0,0,1
01/01/2013,02:30,8,6,2,0,0
01/01/2013,02:45,8,4,3,1,0
01/01/2013,03:00,5,4,1,0,0
01/01/2013,03:15,5,2,2,1,0
01/01/2013,03:30,1,0,1,0,0
01/01/2013,03:45,4,2,0,0,2
01/01/2013,04:00,2,0,0,2,0
01/01/2013,04:15,3,1,1,1,0
01/01/2013,04:30,0,0,0,0,0
01/01/2013,04:45,0,0,0,0,0
01/01/2013,05:00,2,1,1,0,0
01/01/2013,05:15,0,0,0,0,0
01/01/2013,05:30,1,0,1,0,0
01/01/2013,05:45,2,1,1,0,0
01/01/2013,06:00,0,0,0,0,0
01/01/2013,06:15,2,0,0,0,2
01/01/2013,06:30,3,1,2,0,0
01/01/2013,06:45,1,0,1,0,0
01/01/2013,07:00,4,2,2,0,0
01/01/2013,07:15,5,1,2,1,1
01/01/2013,07:30,1,0,1,0,0
01/01/2013,07:45,6,2,3,0,1
01/01/2013,08:00,15,3,9,1,2
01/01/2013,08:15,4,0,3,0,1
01/01/2013,08:30,12,2,5,1,4
01/01/2013,08:45,16,3,6,2,5
01/01/2013,09:00,15,5,7,1,2
01/01/2013,09:15,13,4,6,1,2
01/01/2013,09:30,12,4,6,0,2
01/01/2013,09:45,18,5,11,0,2
01/01/2013,10:00,36,8,22,0,6
01/01/2013,10:15,26,8,15,0,3
01/01/2013,10:30,22,8,10,3,1
01/01/2013,10:45,27,12,13,1,1
01/01/2013,11:00,23,6,13,2,2
01/01/2013,11:15,34,19,12,1,2
01/01/2013,11:30,34,18,13,1,2
01/01/2013,11:45,30,15,10,0,5
01/01/2013,12:00,23,9,11,1,2
01/01/2013,12:15,36,13,20,0,3
01/01/2013,12:30,44,12,26,1,5
01/01/2013,12:45,44,13,30,0,1
01/01/2013,13:00,37,10,14,9,4
01/01/2013,13:15,37,12,21,1,3
01/01/2013,13:30,39,12,18,1,8
01/01/2013,13:45,28,11,11,1,5
01/01/2013,14:00,23,13,9,0,1
01/01/2013,14:15,36,18,16,0,2
01/01/2013,14:30,31,10,19,0,2
01/01/2013,14:45,43,17,14,10,2
01/01/2013,15:00,33,15,12,2,4
01/01/2013,15:15,32,7,18,1,6
01/01/2013,15:30,53,25,19,4,5
01/01/2013,15:45,34,14,8,3,9
01/01/2013,16:00,35,12,15,4,4
01/01/2013,16:15,18,7,7,0,4
01/01/2013,16:30,39,15,14,4,6
01/01/2013,16:45,34,12,18,1,3
01/01/2013,17:00,20,9,8,1,2
01/01/2013,17:15,32,16,12,2,2
01/01/2013,17:30,25,14,11,0,0
01/01/2013,17:45,22,11,8,1,2
01/01/2013,18:00,18,15,2,1,0
01/01/2013,18:15,15,11,3,1,0
01/01/2013,18:30,26,14,9,3,0
01/01/2013,18:45,17,5,8,1,3
01/01/2013,19:00,9,5,4,0,0
01/01/2013,19:15,9,4,5,0,0
01/01/2013,19:30,7,3,3,1,0
01/01/2013,19:45,5,3,1,1,0
01/01/2013,20:00,12,8,3,1,0
01/01/2013,20:15,5,3,2,0,0
01/01/2013,20:30,9,6,1,1,1
01/01/2013,20:45,8,5,2,0,1
01/01/2013,21:00,5,3,2,0,0
01/01/2013,21:15,6,3,2,0,1
01/01/2013,21:30,1,1,0,0,0
01/01/2013,21:45,2,2,0,0,0
01/01/2013,22:00,4,4,0,0,0
01/01/2013,22:15,6,5,1,0,0
01/01/2013,22:30,4,3,1,0,0
01/01/2013,22:45,1,0,1,0,0
01/01/2013,23:00,3,2,0,1,0
01/01/2013,23:15,3,3,0,0,0
01/01/2013,23:30,3,2,1,0,0
01/01/2013,23:45,6,1,1,0,4
02/01/2013,00:00,5,1,0,4,0
02/01/2013,00:15,3,1,1,1,0
02/01/2013,00:30,1,0,0,1,0
02/01/2013,00:45,3,2,0,1,0
02/01/2013,01:00,1,1,0,0,0
02/01/2013,01:15,1,0,0,1,0
02/01/2013,01:30,0,0,0,0,0
02/01/2013,01:45,1,0,0,1,0
02/01/2013,02:00,0,0,0,0,0
02/01/2013,02:15,1,1,0,0,0
02/01/2013,02:30,0,0,0,0,0
02/01/2013,02:45,1,0,1,0,0
02/01/2013,03:00,0,0,0,0,0
02/01/2013,03:15,1,1,0,0,0
02/01/2013,03:30,2,1,1,0,0
02/01/2013,03:45,0,0,0,0,0
02/01/2013,04:00,0,0,0,0,0
02/01/2013,04:15,0,0,0,0,0
02/01/2013,04:30,2,0,2,0,0
02/01/2013,04:45,0,0,0,0,0
02/01/2013,05:00,0,0,0,0,0
02/01/2013,05:15,1,0,0,0,1
02/01/2013,05:30,3,0,2,0,1
02/01/2013,05:45,3,0,2,0,1
02/01/2013,06:00,8,3,3,1,1
02/01/2013,06:15,13,3,7,1,2
02/01/2013,06:30,15,6,7,0,2
02/01/2013,06:45,17,3,11,0,3
02/01/2013,07:00,38,17,13,0,8
02/01/2013,07:15,20,5,8,1,6
02/01/2013,07:30,45,8,15,11,11
02/01/2013,07:45,32,7,13,2,10
02/01/2013,08:00,36,4,18,3,11
02/01/2013,08:15,53,9,21,10,13
02/01/2013,08:30,61,15,18,7,21
02/01/2013,08:45,52,9,20,8,15
02/01/2013,09:00,44,8,14,4,18
02/01/2013,09:15,31,3,12,3,13
02/01/2013,09:30,27,5,11,5,6
02/01/2013,09:45,26,7,6,3,10
02/01/2013,10:00,17,1,10,0,6
02/01/2013,10:15,17,7,5,1,4
02/01/2013,10:30,16,9,5,1,1
02/01/2013,10:45,11,5,2,0,4
02/01/2013,11:00,17,4,11,0,2
02/01/2013,11:15,17,3,13,0,1
02/01/2013,11:30,18,6,11,0,1
02/01/2013,11:45,19,4,14,1,0
02/01/2013,12:00,13,2,10,1,0
02/01/2013,12:15,27,8,15,0,4
02/01/2013,12:30,26,8,14,1,3
02/01/2013,12:45,37,16,5,1,15
02/01/2013,13:00,27,8,14,1,4
02/01/2013,13:15,23,8,7,3,5
02/01/2013,13:30,30,9,17,0,4
02/01/2013,13:45,30,11,15,1,3
02/01/2013,14:00,18,8,7,0,3
02/01/2013,14:15,25,9,12,1,3
02/01/2013,14:30,23,12,7,1,3
02/01/2013,14:45,21,9,10,1,1
02/01/2013,15:00,21,6,11,2,2
02/01/2013,15:15,12,4,6,1,1
02/01/2013,15:30,26,9,12,4,1
02/01/2013,15:45,25,6,13,1,5
02/01/2013,16:00,25,11,7,1,6
02/01/2013,16:15,43,14,26,0,3
02/01/2013,16:30,38,20,10,5,3
02/01/2013,16:45,49,13,22,3,11
02/01/2013,17:00,47,17,15,4,11
02/01/2013,17:15,57,20,17,9,11
02/01/2013,17:30,75,27,29,3,16
02/01/2013,17:45,77,32,25,9,11
02/01/2013,18:00,51,15,25,6,5
02/01/2013,18:15,66,23,27,5,11
02/01/2013,18:30,43,15,15,3,10
02/01/2013,18:45,45,20,13,3,9
02/01/2013,19:00,31,16,9,3,3
02/01/2013,19:15,25,9,8,4,4
02/01/2013,19:30,26,12,9,1,4
02/01/2013,19:45,16,10,6,0,0
02/01/2013,20:00,19,11,5,1,2
02/01/2013,20:15,16,12,3,0,1
02/01/2013,20:30,16,12,2,1,1
02/01/2013,20:45,7,4,2,0,1
02/01/2013,21:00,16,8,1,4,3
02/01/2013,21:15,11,5,4,0,2
02/01/2013,21:30,7,5,2,0,0
02/01/2013,21:45,18,12,2,4,0
02/01/2013,22:00,6,3,0,1,2
02/01/2013,22:15,7,3,3,0,1
02/01/2013,22:30,5,3,2,0,0
02/01/2013,22:45,3,2,0,0,1
02/01/2013,23:00,5,3,0,2,0
