Date,,Ballston Connector,Ballston Connector Ped IN,Ballston Connector Ped OUT,Ballston Connector Bike IN,Ballston Connector Bike OUT
06/12/2012,00:00,,,,,
06/12/2012,00:15,,,,,
06/12/2012,00:30,,,,,
06/12/2012,00:45,,,,,
06/12/2012,01:00,,,,,
06/12/2012,01:15,,,,,
06/12/2012,01:30,,,,,
06/12/2012,01:45,,,,,
06/12/2012,02:00,,,,,
06/12/2012,02:15,,,,,
06/12/2012,02:30,,,,,
06/12/2012,02:45,,,,,
06/12/2012,03:00,,,,,
06/12/2012,03:15,,,,,
06/12/2012,03:30,,,,,
06/12/2012,03:45,,,,,
06/12/2012,04:00,0,0,0,0,0
06/12/2012,04:15,0,0,0,0,0
06/12/2012,04:30,0,0,0,0,0
06/12/2012,04:45,1,0,0,0,1
06/12/2012,05:00,0,0,0,0,0
06/12/2012,05:15,2,0,0,1,1
06/12/2012,05:30,1,0,0,1,0
06/12/2012,05:45,1,0,0,1,0
06/12/2012,06:00,8,0,0,6,2
06/12/2012,06:15,4,0,0,3,1
06/12/2012,06:30,10,0,0,6,4
06/12/2012,06:45,8,0,0,5,3
06/12/2012,07:00,8,0,0,5,3
06/12/2012,07:15,16,0,0,12,4
06/12/2012,07:30,16,0,0,15,1
06/12/2012,07:45,13,0,0,12,1
06/12/2012,08:00,18,0,0,14,4
06/12/2012,08:15,16,0,0,16,0
06/12/2012,08:30,15,0,0,15,0
06/12/2012,08:45,14,0,0,12,2
06/12/2012,09:00,16,0,0,15,1
06/12/2012,09:15,9,0,0,8,1
06/12/2012,09:30,71,0,0,38,33
06/12/2012,09:45,150,0,0,73,77
06/12/2012,10:00,345,0,0,174,171
06/12/2012,10:15,165,0,0,72,93
06/12/2012,10:30,124,0,0,60,64
06/12/2012,10:45,203,0,0,108,95
06/12/2012,11:00,264,0,0,122,142
06/12/2012,11:15,163,0,0,86,77
06/12/2012,11:30,231,0,0,120,111
06/12/2012,11:45,109,0,0,52,57
06/12/2012,12:00,89,0,0,48,41
06/12/2012,12:15,202,0,0,99,103
06/12/2012,12:30,226,0,0,116,110
06/12/2012,12:45,117,6,1,62,48
06/12/2012,13:00,115,1,2,57,55
06/12/2012,13:15,142,0,3,62,77
06/12/2012,13:30,114,4,3,57,50
06/12/2012,13:45,55,1,0,24,30
06/12/2012,14:00,7,0,0,5,2
06/12/2012,14:15,8,3,2,1,2
06/12/2012,14:30,5,2,2,1,0
06/12/2012,14:45,3,0,0,1,2
06/12/2012,15:00,12,1,3,2,6
06/12/2012,15:15,8,2,1,2,3
06/12/2012,15:30,3,0,0,0,3
06/12/2012,15:45,8,0,1,3,4
06/12/2012,16:00,9,2,5,0,2
06/12/2012,16:15,6,0,1,1,4
06/12/2012,16:30,7,0,2,1,4
06/12/2012,16:45,10,1,4,4,1
06/12/2012,17:00,13,2,4,2,5
06/12/2012,17:15,18,0,8,1,9
06/12/2012,17:30,15,1,4,0,10
06/12/2012,17:45,17,1,5,1,10
06/12/2012,18:00,9,1,0,1,7
06/12/2012,18:15,20,2,7,4,7
06/12/2012,18:30,16,0,7,3,6
06/12/2012,18:45,14,0,5,1,8
06/12/2012,19:00,7,0,3,1,3
06/12/2012,19:15,6,0,3,0,3
06/12/2012,19:30,10,4,3,2,1
06/12/2012,19:45,7,0,3,0,4
06/12/2012,20:00,4,1,1,0,2
06/12/2012,20:15,4,1,1,0,2
06/12/2012,20:30,2,0,0,2,0
06/12/2012,20:45,2,1,1,0,0
06/12/2012,21:00,1,0,1,0,0
06/12/2012,21:15,2,0,1,0,1
06/12/2012,21:30,1,0,0,0,1
06/12/2012,21:45,1,0,0,0,1
06/12/2012,22:00,1,0,0,0,1
06/12/2012,22:15,1,0,1,0,0
06/12/2012,22:30,1,0,1,0,0
06/12/2012,22:45,2,0,1,0,1
06/12/2012,23:00,0,0,0,0,0
06/12/2012,23:15,0,0,0,0,0
06/12/2012,23:30,0,0,0,0,0
06/12/2012,23:45,0,0,0,0,0
07/12/2012,00:00,1,0,0,1,0
07/12/2012,00:15,2,0,1,0,1
07/12/2012,00:30,1,0,0,0,1
07/12/2012,00:45,1,0,1,0,0
07/12/2012,01:00,0,0,0,0,0
07/12/2012,01:15,0,0,0,0,0
07/12/2012,01:30,0,0,0,0,0
07/12/2012,01:45,0,0,0,0,0
07/12/2012,02:00,1,0,1,0,0
